rmse,mae,r2,n,circuit,target,pooled_r2
325769.8103921846,264965.9195875243,-0.004656061198850869,36742,Abu Dhabi Grand Prix,E_har_final,-0.007967399171021183
323155.297934464,278930.1158454511,-0.00036340690522518315,26039,Australian Grand Prix,E_har_final,-0.007967399171021183
342719.62262374064,282888.8969861663,-4.411073969601276e-05,25190,Austrian Grand Prix,E_har_final,-0.007967399171021183
346940.4371374086,305248.5664879212,-0.06962854136070873,39435,Azerbaijan Grand Prix,E_har_final,-0.007967399171021183
320752.21015394863,264856.52154356055,-0.1454170258357539,26795,Bahrain Grand Prix,E_har_final,-0.007967399171021183
315338.5961160186,259733.90452618757,-0.006549002063799936,41005,Belgian Grand Prix,E_har_final,-0.007967399171021183
273822.36294182914,234108.84269805904,-0.04137597198297005,35518,British Grand Prix,E_har_final,-0.007967399171021183
404308.41913015064,336840.9477757745,-0.2953507636971675,19579,Canadian Grand Prix,E_har_final,-0.007967399171021183
340294.37589487626,256106.7038115395,-0.19123086713358428,31689,Chinese Grand Prix,E_har_final,-0.007967399171021183
254987.37730217897,219916.9892312691,-0.07265583972728962,31916,Dutch Grand Prix,E_har_final,-0.007967399171021183
272652.06051924627,234010.2371707396,-0.013446411221492482,35690,Emilia Romagna Grand Prix,E_har_final,-0.007967399171021183
246501.717898368,210551.86262134436,-0.0058929472453410625,36675,Hungarian Grand Prix,E_har_final,-0.007967399171021183
300006.00911302783,232301.2469683958,-0.0031927134783233946,19565,Italian Grand Prix,E_har_final,-0.007967399171021183
256620.96232647577,222370.3002584988,-0.15611393460859246,43518,Japanese Grand Prix,E_har_final,-0.007967399171021183
358735.6206673408,302037.18245975184,-0.02608627004419195,28700,Las Vegas Grand Prix,E_har_final,-0.007967399171021183
306049.1422989445,234472.26232779038,-0.4174412145005453,21049,Mexico City Grand Prix,E_har_final,-0.007967399171021183
323661.71938183776,252225.0132373617,-0.004574499374607521,35413,Miami Grand Prix,E_har_final,-0.007967399171021183
288128.97951139486,238303.11785401186,-0.1023233110780506,33284,Monaco Grand Prix,E_har_final,-0.007967399171021183
263437.9590324904,227351.10951202747,-0.14213541881906022,41988,Qatar Grand Prix,E_har_final,-0.007967399171021183
306451.08542300697,273495.9465238027,-0.5810810245328308,52913,Saudi Arabian Grand Prix,E_har_final,-0.007967399171021183
303610.86107055616,240963.80998948176,-0.18900158768834086,37308,Singapore Grand Prix,E_har_final,-0.007967399171021183
282226.6621438975,232387.7391034781,-0.0025516485293226587,28840,Spanish Grand Prix,E_har_final,-0.007967399171021183
289531.168733212,246160.48538461057,-0.0025953087583350243,24973,São Paulo Grand Prix,E_har_final,-0.007967399171021183
315179.815030711,272980.79437357193,-0.012350488665462178,46039,United States Grand Prix,E_har_final,-0.007967399171021183
