rmse,mae,r2,n,nrmse,circuit,target,pooled_r2
50493.73112825126,39610.146207838276,-0.005886086176883465,36040,0.14426780322357502,Abu Dhabi Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
61118.450008409425,44772.37688777226,-0.04279851517460398,26039,0.17462414288116979,Australian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
43332.32654040387,33691.645467593626,-6.953920379526579e-07,25190,0.12380664725829676,Austrian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
32986.393472606425,26062.3270343022,-0.027668262130016164,39435,0.09424683849316122,Azerbaijan Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
42259.00658548692,30823.99453258354,-0.014829152061424322,26668,0.1207400188156769,Bahrain Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
69408.86146389437,50914.532224282244,-0.08678542854358628,40975,0.1983110327539839,Belgian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
56092.913634154924,41697.29255288765,-0.06950110274334853,35129,0.16026546752615692,British Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
57631.17260815323,42444.49570819999,-0.009424124960040192,19579,0.16466049316615208,Canadian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
51195.977643741506,39869.552112720594,-0.00017896664810068685,31689,0.14627422183926145,Chinese Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
44974.43602342126,33775.219387631965,-0.12595788204195357,31916,0.12849838863834645,Dutch Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
53796.76393640819,39767.53445297005,-0.03188241134032044,35550,0.15370503981830913,Emilia Romagna Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
39926.380360114264,32572.860600218424,-0.2681690999983979,36675,0.11407537245746932,Hungarian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
73921.91747595748,58984.7928321222,-0.2313089033047746,19565,0.21120547850273566,Italian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
66327.11843647526,45355.17282411009,-0.022868204958164107,42696,0.18950605267564358,Japanese Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
75845.93656909761,49522.98596776133,-0.1657982718906008,28572,0.21670267591170747,Las Vegas Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
33945.26037555881,28882.467326567017,-0.0016956205743123842,21049,0.09698645821588232,Mexico City Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
69312.05281165053,52136.28956237634,-0.1913214725566288,35280,0.1980344366047158,Miami Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
46176.72795442117,37550.14749115626,-0.009484940328949198,33284,0.13193350844120336,Monaco Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
38101.8212322113,33119.06316364956,-0.8427146324891419,41988,0.10886234637774658,Qatar Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
51806.88610808871,41743.89946904949,-0.010388356346876737,52635,0.14801967459453916,Saudi Arabian Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
43680.08963571893,32572.758798517047,-0.025011348414821555,37308,0.12480025610205407,Singapore Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
36222.276332677284,32761.575278111504,-0.31529224696607727,28840,0.10349221809336367,Spanish Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
38640.89709335186,31977.303060238148,-0.0068169096175065835,24973,0.11040256312386246,São Paulo Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
47555.97042770942,35951.90589643013,-0.024193227140354434,45844,0.13587420122202692,United States Grand Prix,P_deploy_mean_optimal,-0.006567684447755129
