rmse,mae,r2,n,circuit,target,pooled_r2
185.80397242903263,105.29635280469236,-0.0040399176718848295,36742,Abu Dhabi Grand Prix,d_coast_optimal,-0.00432755000354712
178.62571259222727,115.38863479380639,-0.03545688470606856,26039,Australian Grand Prix,d_coast_optimal,-0.00432755000354712
131.79177679659134,92.32757395624901,-0.008613442087747059,25190,Austrian Grand Prix,d_coast_optimal,-0.00432755000354712
112.54438908323702,72.64069758148365,-0.004924052603416218,39435,Azerbaijan Grand Prix,d_coast_optimal,-0.00432755000354712
150.29596768593353,95.27976999162048,-0.07514529757254196,26795,Bahrain Grand Prix,d_coast_optimal,-0.00432755000354712
152.25787755277517,101.86518019571562,-0.02948041272444435,41005,Belgian Grand Prix,d_coast_optimal,-0.00432755000354712
140.53837990272325,92.75292205749135,-2.2748058952526407e-05,35518,British Grand Prix,d_coast_optimal,-0.00432755000354712
161.41080918023633,105.4062839594297,-0.18236521388152194,19579,Canadian Grand Prix,d_coast_optimal,-0.00432755000354712
206.61808502322484,102.56067765832788,-0.03628874066291865,31689,Chinese Grand Prix,d_coast_optimal,-0.00432755000354712
87.19159217237879,68.49949332356864,-0.13047258539032813,31916,Dutch Grand Prix,d_coast_optimal,-0.00432755000354712
95.54284896525814,74.02479429098642,-0.003394905282935179,35690,Emilia Romagna Grand Prix,d_coast_optimal,-0.00432755000354712
79.42608023073952,64.50159327056237,-0.17965138326828667,36675,Hungarian Grand Prix,d_coast_optimal,-0.00432755000354712
247.50947032937393,156.1385128689683,-0.19654194578611883,19565,Italian Grand Prix,d_coast_optimal,-0.00432755000354712
144.6718107321655,90.37295633446914,-0.007777933350079813,43518,Japanese Grand Prix,d_coast_optimal,-0.00432755000354712
183.84316684444465,117.87952299226262,-0.06925258320870187,28700,Las Vegas Grand Prix,d_coast_optimal,-0.00432755000354712
131.35833424442697,83.83075564023318,-0.010001340969618244,21049,Mexico City Grand Prix,d_coast_optimal,-0.00432755000354712
202.7848346477679,121.07629017430763,-0.00371782287743172,35413,Miami Grand Prix,d_coast_optimal,-0.00432755000354712
65.09164389907305,56.21729377476106,-0.5648675690919349,33284,Monaco Grand Prix,d_coast_optimal,-0.00432755000354712
78.51367770428679,66.74179882027258,-0.19612011308121224,41988,Qatar Grand Prix,d_coast_optimal,-0.00432755000354712
88.57511718641777,77.7329560528428,-0.5735699229175182,52913,Saudi Arabian Grand Prix,d_coast_optimal,-0.00432755000354712
84.88518758243261,64.26409060145396,-0.0068296856432699116,37308,Singapore Grand Prix,d_coast_optimal,-0.00432755000354712
97.33263492644785,72.082690787822,-0.011370440216118771,28840,Spanish Grand Prix,d_coast_optimal,-0.00432755000354712
111.81735977532675,76.72740034985206,-0.015764989870784563,24973,São Paulo Grand Prix,d_coast_optimal,-0.00432755000354712
149.72397466588848,88.18492175079327,-0.017496256986298198,46039,United States Grand Prix,d_coast_optimal,-0.00432755000354712
