rmse,mae,r2,n,circuit,target,pooled_r2
458314.8806703686,361901.8075104071,-4.588677918482276e-05,36742,Abu Dhabi Grand Prix,net_depletion_J,-0.0027226083675702117
430621.7592514351,354112.6079824597,-0.014828885896908783,26039,Australian Grand Prix,net_depletion_J,-0.0027226083675702117
623776.7429452671,481035.5199697547,-0.04267435252499108,25190,Austrian Grand Prix,net_depletion_J,-0.0027226083675702117
474680.2708246699,368083.80830337503,-0.005407915436742572,39435,Azerbaijan Grand Prix,net_depletion_J,-0.0027226083675702117
603839.8842459609,497029.8478931207,-0.05528123114783923,26795,Bahrain Grand Prix,net_depletion_J,-0.0027226083675702117
546212.5391849853,403077.82923198375,-0.017289391442074642,41005,Belgian Grand Prix,net_depletion_J,-0.0027226083675702117
482582.8326833197,390439.3837430888,-0.014899387378820572,35518,British Grand Prix,net_depletion_J,-0.0027226083675702117
592984.6003197042,490279.6448943116,-0.06656385304383394,19579,Canadian Grand Prix,net_depletion_J,-0.0027226083675702117
583465.0192412457,493472.7532312115,-0.01660496546590151,31689,Chinese Grand Prix,net_depletion_J,-0.0027226083675702117
424868.7969745133,343172.82394160493,-0.019042070811885248,31916,Dutch Grand Prix,net_depletion_J,-0.0027226083675702117
550300.6811499568,430147.6554395273,-0.015521047480259842,35690,Emilia Romagna Grand Prix,net_depletion_J,-0.0027226083675702117
370377.5363281324,286671.40149516304,-0.012655357917449317,36675,Hungarian Grand Prix,net_depletion_J,-0.0027226083675702117
623394.027452251,494208.57286608283,-0.22668635990487807,19565,Italian Grand Prix,net_depletion_J,-0.0027226083675702117
552345.988574754,435879.0841507655,-0.001446132746749429,43518,Japanese Grand Prix,net_depletion_J,-0.0027226083675702117
740943.0150948297,600041.481633811,-0.004179497948605837,28700,Las Vegas Grand Prix,net_depletion_J,-0.0027226083675702117
526582.5501342454,460327.89746747224,-0.060893475243677164,21049,Mexico City Grand Prix,net_depletion_J,-0.0027226083675702117
578746.7456868083,462874.64013732283,-0.013561407300285211,35413,Miami Grand Prix,net_depletion_J,-0.0027226083675702117
548560.4919799723,470389.6417660526,-0.3368962395015913,33284,Monaco Grand Prix,net_depletion_J,-0.0027226083675702117
378506.43720501056,303656.39612524625,-0.014976224253652415,41988,Qatar Grand Prix,net_depletion_J,-0.0027226083675702117
380523.92728072224,289932.091028572,-0.004766210019911288,52913,Saudi Arabian Grand Prix,net_depletion_J,-0.0027226083675702117
489110.512141306,408738.7237388799,-0.0060105033312714,37308,Singapore Grand Prix,net_depletion_J,-0.0027226083675702117
419810.1134453161,346852.14366637956,-0.048177027465682976,28840,Spanish Grand Prix,net_depletion_J,-0.0027226083675702117
462702.28831839294,375706.75822978036,-0.0004321372517517297,24973,São Paulo Grand Prix,net_depletion_J,-0.0027226083675702117
379666.1829207609,293981.62134854955,-0.06833082772440302,46039,United States Grand Prix,net_depletion_J,-0.0027226083675702117
