soc_bin,bias,rmse,n
"(-0.001, 0.1]",-198471.12145015228,232440.90332259328,274065
"(0.1, 0.2]",10421.27297813792,40295.9794603118,185007
"(0.2, 0.3]",7597.6481358911,44014.07214544346,95135
"(0.3, 0.4]",4841.486384292901,52425.95419420788,52951
"(0.4, 0.5]",3083.43847519579,53105.9354720598,44121
"(0.5, 0.6]",1730.1784029145574,55039.57437787799,38311
"(0.6, 0.7]",521.8721135827928,57993.356103695485,32668
"(0.7, 0.8]",-1905.3060881491826,61098.47581323952,27518
"(0.8, 0.9]",-4175.475121416255,63084.87841899453,24098
"(0.9, 1.0]",-10808.151628540527,66076.36706745398,26436
