soc_bin,bias,rmse,n
"(-0.001, 0.1]",-18317.78127285825,45891.943686525374,274065
"(0.1, 0.2]",952.3548648366565,20741.45380551738,185007
"(0.2, 0.3]",701.3505235510272,22970.02812883756,95135
"(0.3, 0.4]",91.78536046491814,25409.436550261562,52951
"(0.4, 0.5]",-1022.0188675963738,25902.09053314526,44121
"(0.5, 0.6]",-743.8549553522479,26938.131831169405,38311
"(0.6, 0.7]",-924.8333179875322,28205.68964114992,32668
"(0.7, 0.8]",-221.56190189065708,29567.627839232835,27518
"(0.8, 0.9]",1898.0343433382068,30157.774788276813,24098
"(0.9, 1.0]",1582.3791288042707,29200.361372952935,26436
