variant,sigma,dep_cap_MJ,har_cap_MJ,dangerous_rate,conservative_rate
baseline,0.0,4.0,8.5,0.14282648681790314,0.0014255058246474554
baseline,0.5,3.919486855354234,8.456266843119321,0.13143776824034334,0.0022225628448804416
baseline,1.0,3.8389737107084687,8.412533686238644,0.12414163090128755,0.003801348865726548
baseline,1.5,3.758460566062703,8.368800529357966,0.11854690374003679,0.005656039239730227
baseline,2.0,3.677947421416937,8.325067372477287,0.11356529736358062,0.008736971183323115
baseline,2.5,3.597434276771171,8.28133421559661,0.10559472716125076,0.012614960147148989
corrected (b),0.0,4.0,8.5,0.03804414469650521,0.01552728387492336
corrected (b),0.5,3.919486855354234,8.456266843119321,0.027590435315757205,0.023160637645616187
corrected (b),1.0,3.8389737107084687,8.412533686238644,0.018516247700797055,0.0348405885959534
corrected (b),1.5,3.758460566062703,8.368800529357966,0.015481299816063764,0.04463519313304721
corrected (b),2.0,3.677947421416937,8.325067372477287,0.010009196811771919,0.057863274064990804
corrected (b),2.5,3.597434276771171,8.28133421559661,0.007801961986511343,0.07138258736971183
corrected (c),0.0,4.0,8.5,0.026364193746167996,0.02257817290006131
corrected (c),0.5,3.919486855354234,8.456266843119321,0.018470263641937462,0.03165236051502146
corrected (c),1.0,3.8389737107084687,8.412533686238644,0.012538320049049662,0.041830165542611895
corrected (c),1.5,3.758460566062703,8.368800529357966,0.00812385039852851,0.05531882280809319
corrected (c),2.0,3.677947421416937,8.325067372477287,0.0057939914163090125,0.0694206008583691
corrected (c),2.5,3.597434276771171,8.28133421559661,0.003908645003065604,0.0844420600858369
