circuit,n,frac_pinned,rmse_all,rmse_pinned,n_pinned,rmse_interior,n_interior
Abu Dhabi Grand Prix,22890,0.8015290519877676,2.2388872489842324,2.3665640397068364,18347,1.624170115817774,4543.0
Australian Grand Prix,16170,0.8311688311688312,0.8018571991186699,0.7811703160333702,13440,0.8967694373623118,2730.0
Austrian Grand Prix,16793,0.8332638599416423,1.1072266738125187,0.5438982442755831,13993,2.4236859591464412,2800.0
Azerbaijan Grand Prix,27825,0.1961904761904762,2.2641735553240703,0.20466639407095905,5459,2.5233922164088156,22366.0
Bahrain Grand Prix,22386,0.6253908692933083,1.5328690206241644,0.5024498238952476,14000,2.4188651922179765,8386.0
Belgian Grand Prix,29596,0.7637180700094608,0.8174609055300631,0.6491905422337007,22603,1.2107591680054122,6993.0
British Grand Prix,19845,0.7848324514991182,1.1473084071059196,0.515096935291756,15575,2.2693285313740827,4270.0
Canadian Grand Prix,19579,0.529853414372542,1.4564325952945538,1.477586371937216,10374,1.4322179407576257,9205.0
Chinese Grand Prix,25949,0.6420285945508497,2.1619180855303406,2.523807094975038,16660,1.277731174685647,9289.0
Dutch Grand Prix,19880,0.45774647887323944,1.071022837084575,0.33751530689075804,9100,1.4210028946020432,10780.0
Emilia Romagna Grand Prix,27293,0.797640420620672,0.668120431860109,0.29779384400316933,21770,1.3624775763092212,5523.0
Hungarian Grand Prix,24360,0.7557471264367817,0.7408201792424872,0.4867269406550617,18410,1.2304085406306284,5950.0
Italian Grand Prix,16765,0.6680584551148225,1.5345653608184402,0.7216734569374732,11200,2.458885428374127,5565.0
Japanese Grand Prix,21259,0.793546262759302,0.6342523204560061,0.5204203782571459,16870,0.9526209696254113,4389.0
Las Vegas Grand Prix,26320,0.5108282674772037,2.169218119917483,2.135950838642577,13445,2.203422153861866,12875.0
Mexico City Grand Prix,18669,0.2962129733783277,1.8647337165649245,0.11689936189036494,5530,2.221484380704562,13139.0
Miami Grand Prix,19040,0.7282563025210084,2.128334006331181,2.1401132981892137,13866,2.096439902341114,5174.0
Monaco Grand Prix,27125,0.3535852534562212,2.080306909994151,0.582620855835352,9591,2.5513165694635798,17534.0
Qatar Grand Prix,25193,0.8860794665184774,0.45637461496534076,0.38741659028719855,22323,0.812928468427064,2870.0
Saudi Arabian Grand Prix,23100,1.0,0.2557860552412508,0.2557860552412508,23100,,
Singapore Grand Prix,31010,0.43115124153498874,1.719804483474644,0.41455562796992423,13370,2.251497472559149,17640.0
Spanish Grand Prix,26390,0.8222811671087533,0.903886951205706,0.7919701584788335,21700,1.301985819990608,4690.0
São Paulo Grand Prix,19935,0.6281414597441686,1.0554494529785883,0.6689992275198212,12522,1.4965546463410295,7413.0
United States Grand Prix,25046,0.5118182544118821,2.4117030880041983,0.45835764245413013,12819,3.4196448128946506,12227.0
