circuit,n,frac_pinned,rmse_all,rmse_pinned,n_pinned,rmse_interior,n_interior
Abu Dhabi Grand Prix,22890,0.8015290519877676,0.394412290150315,0.4036158914779197,18347,0.35482276799140827,4543.0
Australian Grand Prix,16170,0.8311688311688312,0.1745682905726828,0.15357576951955615,13440,0.25374604122892364,2730.0
Austrian Grand Prix,16793,0.8332638599416423,1.20165616168371,0.15626892439664916,13993,2.922022656984144,2800.0
Azerbaijan Grand Prix,27825,0.1961904761904762,1.4684814533927237,0.0999356111583961,5459,1.6371727160622518,22366.0
Bahrain Grand Prix,22386,0.6253908692933083,0.7281460875614573,0.3790046702884899,14000,1.0842167286564315,8386.0
Belgian Grand Prix,29596,0.7637180700094608,0.5745286177197061,0.18413143513079833,22603,1.134637222067924,6993.0
British Grand Prix,19845,0.7848324514991182,0.16492413661388006,0.09176880702538524,15575,0.3093463463031865,4270.0
Canadian Grand Prix,19579,0.529853414372542,0.8336448519376277,1.0396259732039015,10374,0.5100027071806645,9205.0
Chinese Grand Prix,25949,0.6420285945508497,0.6268823718794038,0.5854464819492219,16660,0.695037421923162,9289.0
Dutch Grand Prix,19880,0.45774647887323944,0.2684008085174986,0.0586405722354822,9100,0.360483451779662,10780.0
Emilia Romagna Grand Prix,27293,0.797640420620672,0.5193197980687143,0.13261429297313676,21770,1.1240199446977828,5523.0
Hungarian Grand Prix,24360,0.7557471264367817,0.1537633220537043,0.11814176671932666,18410,0.23154221930534177,5950.0
Italian Grand Prix,16765,0.6680584551148225,1.4153370255087556,0.11046272703054981,11200,2.4515661103798596,5565.0
Japanese Grand Prix,21259,0.793546262759302,0.29603335235789013,0.2930501939976648,16870,0.3072301961257019,4389.0
Las Vegas Grand Prix,26320,0.5108282674772037,1.0720074088573943,0.9574551664098846,13445,1.179818490034478,12875.0
Mexico City Grand Prix,18669,0.2962129733783277,0.7138874032831699,0.06491845013485602,5530,0.8499170299647706,13139.0
Miami Grand Prix,19040,0.7282563025210084,1.6237575940043687,1.7797760344752316,13866,1.1015915860622667,5174.0
Monaco Grand Prix,27125,0.3535852534562212,0.9275011816063837,0.34088879848902276,9591,1.1257226218638265,17534.0
Qatar Grand Prix,25193,0.8860794665184774,0.1194063932882425,0.10002587711137768,22323,0.21756763952655636,2870.0
Saudi Arabian Grand Prix,23100,1.0,0.12029625698978565,0.12029625698978565,23100,,
Singapore Grand Prix,31010,0.43115124153498874,0.24808065834516202,0.19652398276506544,13370,0.2809229241068915,17640.0
Spanish Grand Prix,26390,0.8222811671087533,0.14974020958673073,0.12970708986365648,21700,0.21982778566617364,4690.0
São Paulo Grand Prix,19935,0.6281414597441686,0.20112430905834636,0.11885626068165303,12522,0.2914063260199879,7413.0
United States Grand Prix,25046,0.5118182544118821,1.5934675647005132,0.14594636075856326,12819,2.275716306506092,12227.0
