year,gp,driver,sector_id,initial_SoC,dt_regression_s,reason
2024,Japanese Grand Prix,STR,10,0.8,1.8685,local_optimum_regression_v2
2024,Chinese Grand Prix,ALB,5,0.4,4.1442,local_optimum_regression_v2
2024,Chinese Grand Prix,ALB,5,0.6,3.8704,local_optimum_regression_v2
2024,Chinese Grand Prix,SAR,5,0.6,4.122,local_optimum_regression_v2
2024,Monaco Grand Prix,PIA,10,0.6,1.3972,local_optimum_regression_v2
2024,Monaco Grand Prix,PIA,10,0.8,1.7224,local_optimum_regression_v2
2024,Monaco Grand Prix,PIA,10,1.0,2.8561,local_optimum_regression_v2
2024,Monaco Grand Prix,GAS,7,1.0,2.7222,local_optimum_regression_v2
2024,British Grand Prix,HAM,7,0.1,1.1977,local_optimum_regression_v2
2024,Belgian Grand Prix,ALB,0,0.7,1.579,local_optimum_regression_v2
2024,Italian Grand Prix,VER,1,0.8,2.1193,local_optimum_regression_v2
2024,Italian Grand Prix,RIC,1,0.7,2.7883,local_optimum_regression_v2
2024,Italian Grand Prix,BOT,1,0.7,2.4865,local_optimum_regression_v2
2024,Azerbaijan Grand Prix,NOR,5,1.0,4.9378,local_optimum_regression_v2
2024,Azerbaijan Grand Prix,ZHO,11,0.8,1.8611,local_optimum_regression_v2
2024,United States Grand Prix,RUS,0,0.6,1.208,local_optimum_regression_v2
2024,United States Grand Prix,PER,18,1.0,1.8781,local_optimum_regression_v2
2024,Mexico City Grand Prix,STR,5,1.0,1.5417,local_optimum_regression_v2
2024,Qatar Grand Prix,HUL,10,0.1,0.5522,local_optimum_regression_v2
2024,Abu Dhabi Grand Prix,HUL,6,1.0,1.6113,local_optimum_regression_v2
2025,Japanese Grand Prix,PIA,10,1.0,2.0048,local_optimum_regression_v2
2025,Japanese Grand Prix,HUL,10,0.8,2.0855,local_optimum_regression_v2
2025,Bahrain Grand Prix,VER,3,0.7,1.1971,local_optimum_regression_v2
2025,Bahrain Grand Prix,OCO,3,0.1,0.0051,local_optimum_regression_v2
2025,Emilia Romagna Grand Prix,VER,6,0.8,2.4217,local_optimum_regression_v2
2025,Monaco Grand Prix,TSU,10,1.0,1.3453,local_optimum_regression_v2
2025,Canadian Grand Prix,HAD,8,0.2,3.3486,local_optimum_regression_v2
2025,Canadian Grand Prix,LAW,6,0.9,2.1739,local_optimum_regression_v2
2025,Canadian Grand Prix,LAW,6,1.0,2.174,local_optimum_regression_v2
2025,Austrian Grand Prix,ANT,0,0.1,3.148,local_optimum_regression_v2
2025,British Grand Prix,GAS,8,0.1,1.0028,local_optimum_regression_v2
2025,British Grand Prix,OCO,8,0.1,0.8067,local_optimum_regression_v2
2025,British Grand Prix,LAW,7,0.1,0.0154,local_optimum_regression_v2
2025,British Grand Prix,COL,8,0.1,1.0077,local_optimum_regression_v2
2025,Belgian Grand Prix,ANT,8,0.1,0.031,local_optimum_regression_v2
2025,Italian Grand Prix,VER,1,0.6,2.5798,local_optimum_regression_v2
2025,Italian Grand Prix,ALB,1,0.5,2.705,local_optimum_regression_v2
2025,Azerbaijan Grand Prix,TSU,7,1.0,1.3463,local_optimum_regression_v2
2025,Azerbaijan Grand Prix,LEC,15,1.0,1.4094,local_optimum_regression_v2
2025,Azerbaijan Grand Prix,ALO,3,1.0,1.6849,local_optimum_regression_v2
2025,Mexico City Grand Prix,NOR,5,0.9,1.8345,local_optimum_regression_v2
2025,Mexico City Grand Prix,SAI,5,1.0,1.5255,local_optimum_regression_v2
2025,São Paulo Grand Prix,ALO,9,0.5,1.2408,local_optimum_regression_v2
2025,São Paulo Grand Prix,TSU,6,0.5,1.2639,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.2,3.8674,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.3,3.9899,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.4,3.9952,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.5,3.9952,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.6,3.9953,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.7,3.9952,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.8,3.9952,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,0.9,3.9953,local_optimum_regression_v2
2025,Abu Dhabi Grand Prix,TSU,7,1.0,3.9953,local_optimum_regression_v2
