rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
34114.73806407729,18398.097898537515,0.988982582154889,36742,Abu Dhabi Grand Prix,E_har_final,mlp,1,0.991730110453967
21459.051977267845,13927.360918884933,0.9955888045610475,26039,Australian Grand Prix,E_har_final,mlp,1,0.991730110453967
23860.58240233042,13978.932236956674,0.9951526621006763,25190,Austrian Grand Prix,E_har_final,mlp,1,0.991730110453967
23501.673903861625,14763.09541991209,0.9950918171675452,39435,Azerbaijan Grand Prix,E_har_final,mlp,1,0.991730110453967
28972.053800424655,15355.623920296297,0.9906549229782806,26795,Bahrain Grand Prix,E_har_final,mlp,1,0.991730110453967
25957.972161683814,15389.649466016028,0.9931794061728262,41005,Belgian Grand Prix,E_har_final,mlp,1,0.991730110453967
24971.182201136286,15601.583833918497,0.9913394009695048,35518,British Grand Prix,E_har_final,mlp,1,0.991730110453967
16609.082720510003,12404.156734967319,0.9978139851306882,19579,Canadian Grand Prix,E_har_final,mlp,1,0.991730110453967
27018.381659863622,16154.078497632605,0.9924906030879428,31689,Chinese Grand Prix,E_har_final,mlp,1,0.991730110453967
30144.491459041477,14204.858680055828,0.9850087115411383,31916,Dutch Grand Prix,E_har_final,mlp,1,0.991730110453967
18559.66890424342,11959.771778540338,0.9953040477790508,35690,Emilia Romagna Grand Prix,E_har_final,mlp,1,0.991730110453967
22657.424911160724,11265.265224316852,0.9915016823259776,36675,Hungarian Grand Prix,E_har_final,mlp,1,0.991730110453967
23215.054239899193,16554.134199717868,0.9939929137580183,19565,Italian Grand Prix,E_har_final,mlp,1,0.991730110453967
51308.09391533006,26165.391347969053,0.9537844485688005,43518,Japanese Grand Prix,E_har_final,mlp,1,0.991730110453967
41609.32848595143,20644.274862511644,0.9861956396975277,28700,Las Vegas Grand Prix,E_har_final,mlp,1,0.991730110453967
14221.559318266696,10655.519556173776,0.9969393254158566,21049,Mexico City Grand Prix,E_har_final,mlp,1,0.991730110453967
31405.33072316368,18222.92589616736,0.9905418495441226,35413,Miami Grand Prix,E_har_final,mlp,1,0.991730110453967
26230.891138800722,16565.766676898787,0.9908638925294144,33284,Monaco Grand Prix,E_har_final,mlp,1,0.991730110453967
19815.11969030999,10507.927923761896,0.9935381883718012,41988,Qatar Grand Prix,E_har_final,mlp,1,0.991730110453967
26523.467915460464,14391.483766654663,0.9881561632507395,52913,Saudi Arabian Grand Prix,E_har_final,mlp,1,0.991730110453967
26394.88049256551,13098.699686503473,0.991013569342276,37308,Singapore Grand Prix,E_har_final,mlp,1,0.991730110453967
11842.308046438187,8552.410754934495,0.9982348428167387,28840,Spanish Grand Prix,E_har_final,mlp,1,0.991730110453967
15553.33967147385,11335.940137627973,0.9971067741631793,24973,São Paulo Grand Prix,E_har_final,mlp,1,0.991730110453967
27334.965277688952,15082.917494136223,0.9923853287647814,46039,United States Grand Prix,E_har_final,mlp,1,0.991730110453967
