rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
35792.74489306239,21550.781220403034,0.9878720960518722,36742,Abu Dhabi Grand Prix,E_har_final,xgb,0,0.9873605759899848
28613.73724121906,19307.166828062003,0.9921569604364731,26039,Australian Grand Prix,E_har_final,xgb,0,0.9873605759899848
32915.34498310275,21154.708040889756,0.9907756019085029,25190,Austrian Grand Prix,E_har_final,xgb,0,0.9873605759899848
36684.98389356807,25417.609626812846,0.9880408639751351,39435,Azerbaijan Grand Prix,E_har_final,xgb,0,0.9873605759899848
41041.19783740754,26751.61531417356,0.9812472754481651,26795,Bahrain Grand Prix,E_har_final,xgb,0,0.9873605759899848
37294.18463118475,23786.778315044052,0.9859212889357233,41005,Belgian Grand Prix,E_har_final,xgb,0,0.9873605759899848
27923.068774511925,17374.246112454453,0.9891708089146451,35518,British Grand Prix,E_har_final,xgb,0,0.9873605759899848
30314.922234752124,20865.639814767223,0.9927175965990289,19579,Canadian Grand Prix,E_har_final,xgb,0,0.9873605759899848
30783.94803992705,21742.303937041255,0.9902515620890124,31689,Chinese Grand Prix,E_har_final,xgb,0,0.9873605759899848
32861.27317273634,21488.702288682132,0.9821847546068325,31916,Dutch Grand Prix,E_har_final,xgb,0,0.9873605759899848
23500.301241986966,15671.845036450746,0.9924711251236561,35690,Emilia Romagna Grand Prix,E_har_final,xgb,0,0.9873605759899848
30772.839250049805,19954.69648337213,0.9843235760847527,36675,Hungarian Grand Prix,E_har_final,xgb,0,0.9873605759899848
37977.058815914505,27233.84400385311,0.9839244027885569,19565,Italian Grand Prix,E_har_final,xgb,0,0.9873605759899848
51425.089335393954,30598.959139202412,0.9535734419960653,43518,Japanese Grand Prix,E_har_final,xgb,0,0.9873605759899848
43671.86988787501,26882.347616955016,0.9847931785408252,28700,Las Vegas Grand Prix,E_har_final,xgb,0,0.9873605759899848
23311.229359516998,18405.57403482567,0.9917765685249554,21049,Mexico City Grand Prix,E_har_final,xgb,0,0.9873605759899848
33893.92653580301,20862.313361229073,0.988983510028923,35413,Miami Grand Prix,E_har_final,xgb,0,0.9873605759899848
39365.836452751195,26999.852297379763,0.979423378108831,33284,Monaco Grand Prix,E_har_final,xgb,0,0.9873605759899848
25192.274817763395,15486.600679535342,0.9895553073648359,41988,Qatar Grand Prix,E_har_final,xgb,0,0.9873605759899848
34768.74792870242,20188.860231192808,0.97964786843434,52913,Saudi Arabian Grand Prix,E_har_final,xgb,0,0.9873605759899848
35933.97582777875,22663.567851998036,0.9833444733323712,37308,Singapore Grand Prix,E_har_final,xgb,0,0.9873605759899848
22690.39679796227,15589.8223752006,0.9935197037862049,28840,Spanish Grand Prix,E_har_final,xgb,0,0.9873605759899848
27211.873457628782,18517.961246988987,0.9911437084173715,24973,São Paulo Grand Prix,E_har_final,xgb,0,0.9873605759899848
32047.169005286465,19740.532400264794,0.9895336935745256,46039,United States Grand Prix,E_har_final,xgb,0,0.9873605759899848
