rmse,mae,r2,n,nrmse,circuit,target,model,seed,pooled_r2
27970.441220156506,11586.006074833685,0.6913455740211065,36040,0.0799155463433043,Abu Dhabi Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
16915.271191676562,9081.226311355296,0.9201244851670857,26039,0.04832934626193303,Australian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
24887.537857504958,12260.318050306938,0.6701320246297221,25190,0.07110725102144273,Austrian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
15810.659783331745,8061.9737280798,0.7639069182108935,39435,0.04517331366666213,Azerbaijan Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
25451.276578393932,12890.880352263082,0.6318934814807775,26668,0.07271793308112552,Bahrain Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
27394.768054549586,16649.354117303195,0.8307030160823372,40975,0.07827076587014167,Belgian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
28833.48656994618,15826.31532520792,0.7174081971862881,35129,0.08238139019984624,British Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
18823.153277458692,9504.226739381013,0.892317897852874,19579,0.05378043793559626,Canadian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
22811.936726394295,12786.332715358238,0.8014223566204381,31689,0.06517696207541226,Chinese Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
31514.8171014402,13852.931448287474,0.44713349998141927,31916,0.09004233457554343,Dutch Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
18016.99296616516,10169.013802472404,0.8842602543481123,35550,0.05147712276047188,Emilia Romagna Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
25681.062547047564,10046.208302421546,0.4753335853994056,36675,0.0733744644201359,Hungarian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
19738.78963624349,10581.453224732944,0.9122066522774555,19565,0.05639654181783855,Italian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
49330.70388455323,26140.70040484748,0.4341881432857366,42696,0.14094486824158065,Japanese Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
22598.958464988522,12859.791903626538,0.8965011276366041,28572,0.06456845275711007,Las Vegas Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
8970.677023763521,5989.57405870763,0.9300435233531428,21049,0.025630505782181488,Mexico City Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
30949.23755496471,16109.922554719506,0.7624738903823853,35280,0.0884263930141849,Miami Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
23141.967293027395,10931.32622683433,0.7464555645421203,33284,0.06611990655150685,Monaco Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
21591.38659213839,10104.88427240699,0.4082644228204264,41988,0.06168967597753826,Qatar Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
32595.224611190355,18639.576828672893,0.6000356252359473,52635,0.09312921317482958,Saudi Arabian Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
30581.04050971521,13663.735254152096,0.4975808921558662,37308,0.08737440145632917,Singapore Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
9116.831583076704,5359.100076502383,0.9166781996029255,28840,0.02604809023736201,Spanish Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
12862.420739331572,6567.089409305116,0.8884417936253057,24973,0.03674977354094735,São Paulo Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
29778.339921369534,13639.097616026527,0.5984193585022586,45844,0.08508097120391295,United States Grand Prix,P_deploy_mean_optimal,xgb,4,0.7391677150421693
