rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
12.207529303740461,6.19589724014018,0.9956659238195085,36742,Abu Dhabi Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
17.87746361505851,6.245424744399824,0.9896281583647288,26039,Australian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
25.511551025873263,8.615381021683366,0.9622060876070735,25190,Austrian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
13.241533171559102,5.88367831207274,0.9860888802030873,39435,Azerbaijan Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
11.322875324325372,5.372078531614183,0.9938978068160637,26795,Bahrain Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
25.485093701824898,8.869495073342579,0.9711576253144718,41005,Belgian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
13.19455675348103,6.0189646207842795,0.9911852580145653,35518,British Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
21.43215544321062,7.671943492222469,0.9791542216601088,19579,Canadian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
30.842247933842735,9.982247499939533,0.9769093497355845,31689,Chinese Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
11.834493609053418,5.80571775380931,0.9791737931586372,31916,Dutch Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
19.328518686484006,5.936856699297396,0.9589349212390595,35690,Emilia Romagna Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
9.272756432460158,4.530894601440145,0.9839215149691446,36675,Hungarian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
29.86122455383468,11.429504127260238,0.982583554987181,19565,Italian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
18.58991236247533,9.62619097885467,0.983360062332923,43518,Japanese Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
55.2530974349052,15.031113780792332,0.9034174691387052,28700,Las Vegas Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
5.917959870976211,4.073256781412955,0.9979500148398108,21049,Mexico City Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
24.819829159912473,10.181984413538581,0.9849637940480616,35413,Miami Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
8.996379319315938,5.4336832192802795,0.9701074731813366,33284,Monaco Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
8.356100380787643,4.195335856049104,0.9864514927394431,41988,Qatar Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
12.792496101433105,6.513359144849563,0.9671773863071828,52913,Saudi Arabian Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
16.290629210504548,6.136922462265579,0.9629175940254076,37308,Singapore Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
7.246282956931358,3.321942603565024,0.9943943771805835,28840,Spanish Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
7.336291395439575,3.714107127049077,0.9956275191194197,24973,São Paulo Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
11.512065273286062,5.69557990853318,0.9939847094179335,46039,United States Grand Prix,d_coast_optimal,mlp,1,0.9800347155498629
