rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
0.15250865820833837,0.10671217821308589,0.9982724820768578,36742,Abu Dhabi Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.4033353649203783,0.23464090253179185,0.9864601334224631,26039,Australian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.24753900428149853,0.1595481508191519,0.9923867298387004,25190,Austrian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.2672093007218114,0.18979387982587964,0.988298506046988,39435,Azerbaijan Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.19761470937927528,0.1404142323973329,0.995000784928618,26795,Bahrain Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.23093703631921106,0.15929581060457254,0.994294664443335,41005,Belgian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.185635455783744,0.12167994854074049,0.9957281851604668,35518,British Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.5153063719713753,0.3316864946005947,0.9555799001062267,19579,Canadian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.2761865286118466,0.15822649203262862,0.9949186652013117,31689,Chinese Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.24474008514254425,0.15769021128265134,0.9806848836345846,31916,Dutch Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.16492024375147557,0.1159475539735197,0.9931623525233978,35690,Emilia Romagna Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.1524193864973922,0.10856694763918315,0.9887381352767438,36675,Hungarian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.2716019314586167,0.1889074750335218,0.9945609469257634,19565,Italian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.36320959958792615,0.18352547816484086,0.982614276683715,43518,Japanese Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.3588830852207608,0.2176406140108758,0.990576148726336,28700,Las Vegas Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.16609102051615776,0.11924898391427463,0.9964198117304438,21049,Mexico City Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.2192331923434114,0.13506792463252118,0.9972574609727797,35413,Miami Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.13761381422200566,0.10055387141465351,0.9861042832052873,33284,Monaco Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.08940235783711495,0.07138072901702203,0.9959223626018884,41988,Qatar Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.20762313379212533,0.14445879894465238,0.9793389517676662,52913,Saudi Arabian Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.23834529749674538,0.13925264828593606,0.9801909585542601,37308,Singapore Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.20800402399838697,0.12510889446004522,0.9853725472257371,28840,Spanish Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.24100598998049588,0.15119589154237803,0.9869912893227593,24973,São Paulo Grand Prix,dt_optimal,xgb,3,0.9907020356541326
0.5567488253392828,0.21006030729198322,0.9692053230875991,46039,United States Grand Prix,dt_optimal,xgb,3,0.9907020356541326
