rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
61980.887868423524,31023.151106058936,0.9817102572206015,36742,Abu Dhabi Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
29883.353088895008,19145.774116952543,0.9951128065369925,26039,Australian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
43027.75060374612,24746.655258785264,0.9950387898941692,25190,Austrian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
38927.17088708185,26559.879131661313,0.9932384600196806,39435,Azerbaijan Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
48315.68636011082,21994.44194626401,0.993243824376389,26795,Bahrain Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
44219.85817091381,26579.614943089862,0.9933326097671407,41005,Belgian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
48313.15391632825,25126.860549649165,0.9898279137812038,35518,British Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
22506.650886439504,17279.473997270645,0.9984635381554706,19579,Canadian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
50359.6917366901,28320.164873414167,0.9924266381905571,31689,Chinese Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
63166.53841368166,28763.18884283175,0.9774754255011646,31916,Dutch Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
30224.51436682397,19385.289832879283,0.996936573313687,35690,Emilia Romagna Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
45243.00494209269,22656.7488248718,0.984889623972928,36675,Hungarian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
41443.570516373984,29117.752653466465,0.9945784609431839,19565,Italian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
101039.3923693775,52133.410832663416,0.9664890579464404,43518,Japanese Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
47066.39643078157,29900.282390851953,0.9959480541705225,28700,Las Vegas Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
23208.59534378414,16997.078737529442,0.9979391965893437,21049,Mexico City Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
62929.62331061183,33386.29275054831,0.9880165130814594,35413,Miami Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
55385.98565384507,33675.149371197134,0.9863714884211628,33284,Monaco Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
36875.33120462003,18280.649403076593,0.9903665646154939,41988,Qatar Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
49602.76312935742,27995.746112991015,0.982926882862784,52913,Saudi Arabian Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
68202.67340311746,27596.59663889274,0.9804389880668544,37308,Singapore Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
22106.031428512135,16189.425913546353,0.9970936332930831,28840,Spanish Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
26835.849845775032,18707.452404992957,0.9966347677205012,24973,São Paulo Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
56686.894281305955,25230.18420061586,0.9761840858440691,46039,United States Grand Prix,net_depletion_J,mlp,1,0.9894355784067171
