rmse,mae,r2,n,circuit,target,model,seed,pooled_r2
75061.71017822882,47436.42600681338,0.9731756676431,36742,Abu Dhabi Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
48091.955857157234,34839.101269184175,0.9873425634717673,26039,Australian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
66861.43081686171,45802.041601413184,0.9880204179470582,25190,Austrian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
71641.12366726146,49896.48773781055,0.9770984585289422,39435,Azerbaijan Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
64519.309583624985,41183.75239229925,0.9879523027269395,26795,Bahrain Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
73047.75733828063,53231.62435546026,0.9818057164788772,41005,Belgian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
63827.2186048176,41712.85281310967,0.9822462094120437,35518,British Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
56654.474794627895,42556.588010780055,0.9902642712215964,19579,Canadian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
80680.8377182408,54780.733210584236,0.9805614718871682,31689,Chinese Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
78370.90471341946,51093.55883606134,0.9653269408346916,31916,Dutch Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
63536.22310740387,43595.586092106525,0.9864627135821254,35690,Emilia Romagna Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
66060.92786544799,44742.27857363477,0.967784733641363,36675,Hungarian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
69717.43329081012,54935.104075455136,0.9846576798303874,19565,Italian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
107242.26917284733,65965.27917305594,0.9622482424867711,43518,Japanese Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
68987.8195753535,51396.90685912724,0.9912946432892539,28700,Las Vegas Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
40150.53239102963,30648.873201545084,0.9938323251784836,21049,Mexico City Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
77808.10836493428,51078.484747820476,0.9816801186736875,35413,Miami Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
80831.88901057924,58266.50909617375,0.9709722010665962,33284,Monaco Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
55569.045705880606,38292.53429634739,0.9781236326943349,41988,Qatar Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
88557.42380096702,55025.25253361933,0.945580940847298,52913,Saudi Arabian Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
77589.06406807968,45479.4513384855,0.9746843229111474,37308,Singapore Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
51603.9600369689,38518.13132399119,0.9841621981851097,28840,Spanish Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
54372.45533575172,39862.87636416279,0.986185275449833,24973,São Paulo Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
66275.31232889395,41117.419449584784,0.9674459148826121,46039,United States Grand Prix,net_depletion_J,xgb,3,0.9796977306527928
