harvest_cap_MJ,depletion_cap_MJ,n,dangerous_rate,conservative_rate,n_infeasible_all_lambda,mean_lap_time_cost_s,median_lap_time_cost_s
8.5,4.0,65240,0.14282648681790314,0.0014255058246474554,0,0.04834058200685351,0.0
8.5,3.95,65240,0.13640404659717964,0.0014408338442673206,10,0.04834058200685351,0.0
8.5,3.9,65240,0.130226854690374,0.0016860821581851624,22,0.04834058200685351,0.0
8.5,3.8,65240,0.12343654199877375,0.0029429797670141016,39,0.04834058200685351,0.0
8.4,4.0,65240,0.1408645003065604,0.002988963825873697,0,0.05405181297724415,0.0
8.4,3.95,65240,0.13444206008583692,0.0030042918454935624,10,0.05405181297724415,0.0
8.4,3.9,65240,0.12826486817903127,0.003249540159411404,22,0.05405181297724415,0.0
8.4,3.8,65240,0.12147455548743102,0.004506437768240343,39,0.05405181297724415,0.0
8.3,4.0,65240,0.14019006744328633,0.004782342121397915,0,0.05872561657936892,0.0
8.3,3.95,65240,0.13376762722256286,0.00479767014101778,10,0.05872561657936892,0.0
8.3,3.9,65240,0.1275904353157572,0.0050429184549356226,22,0.05872561657936892,0.0
8.3,3.8,65240,0.12080012262415696,0.006299816063764562,40,0.05865913249221716,0.0
8.2,4.0,65240,0.1398988350705089,0.00668301655426119,0,0.0645276742788075,0.0
8.2,3.95,65240,0.1334763948497854,0.006698344573881055,10,0.0645276742788075,0.0
8.2,3.9,65240,0.12729920294297978,0.006943592887798896,22,0.0645276742788075,0.0
8.2,3.8,65240,0.12050889025137952,0.008200490496627836,43,0.06426655018995313,0.0
8.0,4.0,65240,0.13977621091354997,0.014377682403433477,0,0.07744573964830133,0.0
8.0,3.95,65240,0.13335377069282647,0.014393010423053342,10,0.07744573964830133,0.0
8.0,3.9,65240,0.12717657878602084,0.014638258736971183,22,0.07744573964830133,0.0
8.0,3.8,65240,0.1203862660944206,0.015895156345800122,46,0.07699911240309962,0.0
