year,gp,driver,sector_id
2024,Saudi Arabian Grand Prix,HUL,5
2024,Saudi Arabian Grand Prix,BEA,10
2025,Saudi Arabian Grand Prix,HAM,9
2024,Saudi Arabian Grand Prix,HAM,1
2024,Saudi Arabian Grand Prix,NOR,6
2024,Saudi Arabian Grand Prix,PER,9
2024,Saudi Arabian Grand Prix,GAS,7
2025,Saudi Arabian Grand Prix,RUS,1
2025,Saudi Arabian Grand Prix,DOO,1
2025,Saudi Arabian Grand Prix,STR,22
2025,Saudi Arabian Grand Prix,GAS,8
2024,Saudi Arabian Grand Prix,OCO,22
2024,Saudi Arabian Grand Prix,STR,5
2025,Saudi Arabian Grand Prix,ALO,4
2025,Belgian Grand Prix,HUL,12
2024,Belgian Grand Prix,TSU,3
2024,Belgian Grand Prix,ZHO,14
2024,Belgian Grand Prix,SAR,3
2025,Belgian Grand Prix,LEC,3
2025,Belgian Grand Prix,PIA,16
2024,Belgian Grand Prix,BOT,14
2024,Belgian Grand Prix,TSU,8
2025,Belgian Grand Prix,OCO,3
2025,Belgian Grand Prix,OCO,14
2025,Belgian Grand Prix,HAD,6
2024,Belgian Grand Prix,GAS,10
2025,Belgian Grand Prix,SAI,16
2025,Belgian Grand Prix,VER,15
2025,Japanese Grand Prix,OCO,3
2025,Japanese Grand Prix,PIA,4
2025,Japanese Grand Prix,HAM,3
2024,Japanese Grand Prix,VER,0
2024,Japanese Grand Prix,OCO,12
2025,Japanese Grand Prix,DOO,12
2024,Japanese Grand Prix,RIC,0
2024,Japanese Grand Prix,TSU,3
2024,Japanese Grand Prix,GAS,9
2025,Japanese Grand Prix,BOR,16
2025,Japanese Grand Prix,SAI,1
2025,Japanese Grand Prix,ALO,4
2024,United States Grand Prix,HUL,3
2025,United States Grand Prix,HAM,6
2025,United States Grand Prix,LAW,4
2025,United States Grand Prix,NOR,16
2025,United States Grand Prix,LAW,16
2025,United States Grand Prix,SAI,6
2025,United States Grand Prix,RUS,15
2024,United States Grand Prix,LEC,16
2025,United States Grand Prix,LAW,6
2024,United States Grand Prix,BOT,6
2025,United States Grand Prix,HUL,6
2024,United States Grand Prix,ZHO,4
2024,Monaco Grand Prix,GAS,3
2024,Monaco Grand Prix,VER,1
2025,Monaco Grand Prix,PIA,1
2025,Monaco Grand Prix,HAM,0
2024,Monaco Grand Prix,NOR,1
2025,Monaco Grand Prix,LEC,7
2025,Monaco Grand Prix,ANT,1
2024,Monaco Grand Prix,ZHO,10
2024,Monaco Grand Prix,LEC,10
2025,Monaco Grand Prix,NOR,13
2025,British Grand Prix,STR,16
2025,British Grand Prix,NOR,16
2024,British Grand Prix,PIA,2
2024,British Grand Prix,NOR,0
2024,British Grand Prix,HAM,16
2024,British Grand Prix,ALB,10
2024,British Grand Prix,SAR,3
2024,British Grand Prix,RUS,11
2025,British Grand Prix,GAS,10
2025,British Grand Prix,ANT,0
2025,Singapore Grand Prix,HAD,5
2025,Singapore Grand Prix,HUL,8
2024,Singapore Grand Prix,ALB,5
2025,Singapore Grand Prix,LEC,5
2025,Singapore Grand Prix,BEA,14
2025,Singapore Grand Prix,GAS,4
2025,Singapore Grand Prix,HAD,12
2025,Singapore Grand Prix,BOR,8
2025,Singapore Grand Prix,ALO,4
2024,Miami Grand Prix,SAI,14
2025,Miami Grand Prix,SAI,3
2024,Miami Grand Prix,HUL,5
2024,Miami Grand Prix,ALB,1
2024,Miami Grand Prix,HUL,3
2025,Miami Grand Prix,ALO,3
2025,Miami Grand Prix,ALB,5
2025,Miami Grand Prix,HAD,5
2024,Miami Grand Prix,RUS,3
2024,Azerbaijan Grand Prix,HAM,13
2025,Azerbaijan Grand Prix,BEA,15
2024,Azerbaijan Grand Prix,RIC,0
2024,Azerbaijan Grand Prix,NOR,13
2025,Azerbaijan Grand Prix,VER,14
2025,Azerbaijan Grand Prix,HAD,7
2024,Azerbaijan Grand Prix,HUL,13
2025,Azerbaijan Grand Prix,GAS,7
2025,Azerbaijan Grand Prix,COL,7
2025,United States Grand Prix,STR,13
2024,United States Grand Prix,ALB,13
2025,United States Grand Prix,GAS,13
2025,United States Grand Prix,ALO,1
2025,United States Grand Prix,OCO,1
2025,United States Grand Prix,RUS,8
2025,United States Grand Prix,BOR,8
2025,United States Grand Prix,STR,8
2024,United States Grand Prix,VER,1
2025,Dutch Grand Prix,ANT,0
2025,Dutch Grand Prix,PIA,6
2024,Dutch Grand Prix,NOR,8
2024,Dutch Grand Prix,RUS,0
2025,Dutch Grand Prix,COL,8
2024,Dutch Grand Prix,STR,11
2025,Dutch Grand Prix,NOR,7
2025,Dutch Grand Prix,ALO,7
2025,Dutch Grand Prix,HUL,0
2024,Italian Grand Prix,GAS,2
2024,Italian Grand Prix,BOT,1
2024,Italian Grand Prix,PIA,1
2024,Italian Grand Prix,ALB,1
2024,Italian Grand Prix,MAG,2
2024,Italian Grand Prix,TSU,6
2025,Italian Grand Prix,STR,6
2024,Italian Grand Prix,LEC,2
2024,Italian Grand Prix,PER,1
2025,Qatar Grand Prix,BOR,13
2024,Qatar Grand Prix,ALB,4
2024,Qatar Grand Prix,SAI,4
2025,Qatar Grand Prix,BEA,0
2024,Qatar Grand Prix,VER,4
2025,Qatar Grand Prix,LAW,0
2024,Qatar Grand Prix,NOR,0
2024,Qatar Grand Prix,ZHO,8
2024,Qatar Grand Prix,ALO,8
2024,Bahrain Grand Prix,TSU,10
2024,Bahrain Grand Prix,HUL,7
2024,Bahrain Grand Prix,VER,2
2025,Bahrain Grand Prix,OCO,7
2024,Bahrain Grand Prix,RIC,10
2025,Bahrain Grand Prix,NOR,7
2025,Bahrain Grand Prix,ANT,7
2024,Bahrain Grand Prix,TSU,9
2025,Bahrain Grand Prix,BEA,2
2024,Canadian Grand Prix,MAG,6
2024,Canadian Grand Prix,HUL,10
2025,Canadian Grand Prix,HAD,6
2024,Canadian Grand Prix,STR,11
2025,Canadian Grand Prix,OCO,1
2025,Canadian Grand Prix,VER,6
2024,Canadian Grand Prix,PER,10
2024,Canadian Grand Prix,LEC,10
2024,Canadian Grand Prix,STR,8
2024,Austrian Grand Prix,GAS,4
2024,Austrian Grand Prix,RIC,4
2025,Austrian Grand Prix,HUL,4
2024,Austrian Grand Prix,MAG,4
2025,Austrian Grand Prix,NOR,2
2024,Austrian Grand Prix,ALB,0
2025,Austrian Grand Prix,ALO,7
2025,Austrian Grand Prix,ALB,2
2025,Austrian Grand Prix,HUL,2
2025,Hungarian Grand Prix,BEA,5
2025,Hungarian Grand Prix,VER,5
2024,Hungarian Grand Prix,NOR,14
2025,Hungarian Grand Prix,HUL,7
2024,Hungarian Grand Prix,LEC,7
2025,Hungarian Grand Prix,ALO,10
2025,Hungarian Grand Prix,STR,5
2025,Hungarian Grand Prix,RUS,4
2025,Hungarian Grand Prix,BOR,5
2024,Emilia Romagna Grand Prix,PIA,3
2024,Emilia Romagna Grand Prix,HAM,3
2024,Emilia Romagna Grand Prix,RIC,14
2024,Emilia Romagna Grand Prix,LEC,9
2024,Emilia Romagna Grand Prix,OCO,12
2024,Emilia Romagna Grand Prix,SAR,9
2024,Emilia Romagna Grand Prix,NOR,0
2024,Emilia Romagna Grand Prix,TSU,12
2025,Emilia Romagna Grand Prix,OCO,7
2025,Emilia Romagna Grand Prix,ANT,5
2025,Emilia Romagna Grand Prix,PIA,5
2025,Emilia Romagna Grand Prix,HUL,5
2025,Emilia Romagna Grand Prix,RUS,17
2025,Emilia Romagna Grand Prix,HUL,7
2025,Emilia Romagna Grand Prix,PIA,6
2025,Emilia Romagna Grand Prix,STR,15
2024,Saudi Arabian Grand Prix,RUS,20
2024,Saudi Arabian Grand Prix,BOT,13
2025,Saudi Arabian Grand Prix,BOR,13
2025,Saudi Arabian Grand Prix,GAS,16
2025,Saudi Arabian Grand Prix,LAW,16
