year,gp,driver,sector_id
2024,Saudi Arabian Grand Prix,HUL,5
2024,Saudi Arabian Grand Prix,BEA,10
2025,Saudi Arabian Grand Prix,HAM,9
2024,Saudi Arabian Grand Prix,HAM,1
2024,Saudi Arabian Grand Prix,NOR,6
2024,Saudi Arabian Grand Prix,PER,9
2024,Saudi Arabian Grand Prix,GAS,7
2025,Saudi Arabian Grand Prix,RUS,1
2025,Saudi Arabian Grand Prix,DOO,1
2025,Saudi Arabian Grand Prix,STR,22
2025,Saudi Arabian Grand Prix,GAS,8
2024,Saudi Arabian Grand Prix,OCO,22
2024,Saudi Arabian Grand Prix,STR,5
2025,Saudi Arabian Grand Prix,ALO,4
2025,Japanese Grand Prix,OCO,3
2025,Japanese Grand Prix,PIA,4
2025,Japanese Grand Prix,HAM,3
2024,Japanese Grand Prix,VER,0
2024,Japanese Grand Prix,OCO,12
2025,Japanese Grand Prix,DOO,12
2024,Japanese Grand Prix,RIC,0
2024,Japanese Grand Prix,TSU,3
2024,Japanese Grand Prix,GAS,9
2025,Japanese Grand Prix,BOR,16
2025,Japanese Grand Prix,SAI,1
2025,Japanese Grand Prix,ALO,4
2024,United States Grand Prix,HUL,3
2025,United States Grand Prix,HAM,6
2025,United States Grand Prix,LAW,4
2025,United States Grand Prix,NOR,16
2025,United States Grand Prix,LAW,16
2025,United States Grand Prix,SAI,6
2025,United States Grand Prix,RUS,15
2024,United States Grand Prix,LEC,16
2025,United States Grand Prix,LAW,6
2024,United States Grand Prix,BOT,6
2025,United States Grand Prix,HUL,6
2024,United States Grand Prix,ZHO,4
2025,British Grand Prix,STR,16
2025,British Grand Prix,NOR,16
2024,British Grand Prix,PIA,2
2024,British Grand Prix,NOR,0
2024,British Grand Prix,HAM,16
2024,British Grand Prix,ALB,10
2024,British Grand Prix,SAR,3
2024,British Grand Prix,RUS,11
2025,British Grand Prix,GAS,10
2025,British Grand Prix,ANT,0
2024,Miami Grand Prix,SAI,14
2025,Miami Grand Prix,SAI,3
2024,Miami Grand Prix,HUL,5
2024,Miami Grand Prix,ALB,1
2024,Miami Grand Prix,HUL,3
2025,Miami Grand Prix,ALO,3
2025,Miami Grand Prix,ALB,5
2025,Miami Grand Prix,HAD,5
2024,Miami Grand Prix,RUS,3
2025,Qatar Grand Prix,SAI,3
2024,Qatar Grand Prix,ALB,1
2025,Qatar Grand Prix,OCO,3
2024,Qatar Grand Prix,SAI,1
2024,Qatar Grand Prix,TSU,1
2024,Qatar Grand Prix,BOT,1
2024,Qatar Grand Prix,PIA,7
2025,Qatar Grand Prix,TSU,7
2025,Hungarian Grand Prix,ALB,0
2025,Hungarian Grand Prix,RUS,2
2025,Hungarian Grand Prix,RUS,0
2024,Hungarian Grand Prix,STR,0
2024,Hungarian Grand Prix,MAG,2
2025,Hungarian Grand Prix,ALO,9
2025,Hungarian Grand Prix,RUS,8
2024,Abu Dhabi Grand Prix,NOR,10
2025,Abu Dhabi Grand Prix,TSU,0
2025,Abu Dhabi Grand Prix,ALB,2
2025,Abu Dhabi Grand Prix,BEA,11
2025,Abu Dhabi Grand Prix,ALO,0
2025,Abu Dhabi Grand Prix,HAD,0
2025,Abu Dhabi Grand Prix,HUL,1
2025,Belgian Grand Prix,BEA,1
2024,Belgian Grand Prix,VER,9
2025,Belgian Grand Prix,ANT,5
2025,Belgian Grand Prix,VER,1
2024,Belgian Grand Prix,ALB,11
2025,Belgian Grand Prix,ALO,11
2024,Dutch Grand Prix,STR,4
2025,Dutch Grand Prix,SAI,3
2024,Dutch Grand Prix,ALO,4
2025,Dutch Grand Prix,LAW,1
2025,Dutch Grand Prix,HUL,1
2024,Dutch Grand Prix,HUL,4
2024,Emilia Romagna Grand Prix,ALO,10
2024,Emilia Romagna Grand Prix,LEC,16
2024,Emilia Romagna Grand Prix,SAR,2
2024,Emilia Romagna Grand Prix,LEC,4
2025,Emilia Romagna Grand Prix,HAD,8
2024,Australian Grand Prix,ZHO,8
2025,Australian Grand Prix,DOO,6
2024,Australian Grand Prix,STR,12
2024,Australian Grand Prix,HAM,3
2025,Australian Grand Prix,SAI,3
2025,Saudi Arabian Grand Prix,HAD,20
2024,Saudi Arabian Grand Prix,RIC,19
2025,Saudi Arabian Grand Prix,ANT,18
2025,Saudi Arabian Grand Prix,OCO,19
2024,Saudi Arabian Grand Prix,BEA,16
2025,Austrian Grand Prix,STR,8
2025,Austrian Grand Prix,ANT,6
2024,Austrian Grand Prix,HUL,8
2025,Austrian Grand Prix,OCO,8
2024,Austrian Grand Prix,HUL,3
2025,Azerbaijan Grand Prix,SAI,9
2024,Azerbaijan Grand Prix,SAI,17
2025,Azerbaijan Grand Prix,ANT,18
2025,Azerbaijan Grand Prix,STR,18
2024,Singapore Grand Prix,HAM,1
2024,Singapore Grand Prix,MAG,9
2025,Singapore Grand Prix,OCO,9
2024,Singapore Grand Prix,COL,9
2024,Monaco Grand Prix,VER,2
2024,Monaco Grand Prix,NOR,11
2025,Monaco Grand Prix,GAS,11
2025,Monaco Grand Prix,OCO,17
2025,Chinese Grand Prix,DOO,7
2025,Chinese Grand Prix,VER,1
2025,Chinese Grand Prix,DOO,1
2025,Chinese Grand Prix,LEC,7
2025,São Paulo Grand Prix,PIA,3
2025,São Paulo Grand Prix,ALO,3
2025,São Paulo Grand Prix,OCO,9
2025,Azerbaijan Grand Prix,ALO,17
2025,Azerbaijan Grand Prix,HAD,13
2024,Azerbaijan Grand Prix,ALO,12
2025,Bahrain Grand Prix,GAS,8
2024,Bahrain Grand Prix,MAG,4
2025,Bahrain Grand Prix,ALO,1
2024,Qatar Grand Prix,LAW,12
2024,Qatar Grand Prix,STR,11
2025,Dutch Grand Prix,LEC,12
2025,Dutch Grand Prix,VER,12
2024,Italian Grand Prix,COL,8
2025,Italian Grand Prix,PIA,8
2024,Abu Dhabi Grand Prix,MAG,1
2025,Abu Dhabi Grand Prix,ALO,9
2025,Spanish Grand Prix,NOR,9
2024,Spanish Grand Prix,ZHO,11
2025,Mexico City Grand Prix,TSU,7
2024,Las Vegas Grand Prix,HAM,2
2025,Japanese Grand Prix,HUL,2
2024,Australian Grand Prix,TSU,6
2025,Miami Grand Prix,GAS,8
2024,United States Grand Prix,VER,5
2025,Belgian Grand Prix,VER,13
2025,Austrian Grand Prix,RUS,8
