max_depth,learning_rate,n_estimators,reg_lambda,cv_rmse,cv_rmse_sd
4,0.1,800,5.0,10827.694306156749,1389.1524549264766
4,0.1,800,1.0,10831.85406627708,1329.0178539391172
4,0.05,800,1.0,11289.724130247376,1290.4608104334134
4,0.05,800,5.0,11326.104247488058,1392.5123480383136
4,0.1,400,1.0,11597.138178497606,1389.6373702830665
4,0.1,400,5.0,11627.803080202106,1476.0362010328377
6,0.1,800,1.0,11713.858330969306,1252.9757767256394
6,0.1,800,5.0,11799.038765681986,1357.9454858834533
6,0.1,400,1.0,12035.826709333911,1202.0317957509797
6,0.1,400,5.0,12098.628698365297,1351.5367239965085
6,0.05,800,1.0,12216.940135045817,1399.553244635874
4,0.03,800,1.0,12221.295885577645,1493.8709635008217
4,0.03,800,5.0,12288.960839488715,1519.306434380293
6,0.05,800,5.0,12393.880613330013,1446.3451610361028
4,0.05,400,1.0,12566.730775917938,1372.7475906035609
4,0.05,400,5.0,12571.250650833856,1443.9051136068035
6,0.05,400,1.0,12770.249474668964,1444.8023238362653
6,0.03,800,1.0,12783.4926610338,1343.6854011881821
6,0.03,800,5.0,12932.915204208368,1496.0460334364286
6,0.05,400,5.0,12956.224030336187,1494.623927456483
6,0.03,400,1.0,13761.69955619684,1440.2753688044677
6,0.03,400,5.0,13940.923842306442,1583.4116610956394
4,0.03,400,1.0,14076.451583661867,1512.24012048426
8,0.1,800,5.0,14167.24639930516,2038.8313615420768
4,0.03,400,5.0,14229.648814781283,1497.7020704440674
8,0.1,800,1.0,14299.130427106365,1913.9099953156558
8,0.1,400,5.0,14320.492671412158,2001.622845728183
8,0.1,400,1.0,14407.044158260944,1884.6713353040918
8,0.05,800,1.0,14620.504149895572,1638.4657230721589
8,0.05,400,1.0,14858.899622499546,1594.6161705821576
8,0.05,800,5.0,14894.145815607428,1986.4730066081472
8,0.05,400,5.0,15168.668036658433,1954.7227651033998
8,0.03,800,5.0,15240.96225452625,1858.171069202208
8,0.03,800,1.0,15245.869171748107,1852.0682181084287
8,0.03,400,1.0,15670.300788554387,1805.6772895104493
8,0.03,400,5.0,15723.0309583244,1807.69623376037
