max_depth,learning_rate,n_estimators,reg_lambda,cv_rmse,cv_rmse_sd
4,0.1,800,5.0,1.1299637922287233,0.32959566685086544
4,0.1,800,1.0,1.1457741752176305,0.32343034349689576
4,0.1,400,5.0,1.147205985509927,0.32147584159417203
4,0.05,800,1.0,1.1573390211204537,0.3171878441931136
4,0.05,800,5.0,1.1638426083529947,0.3185870696800924
4,0.1,400,1.0,1.1690138099062224,0.3066772405488925
4,0.03,800,1.0,1.1898063616831194,0.28535824107301433
4,0.05,400,1.0,1.191117410532236,0.3031391409639901
4,0.05,400,5.0,1.2019314925688043,0.3076627893691774
4,0.03,800,5.0,1.2065762289295487,0.27485679625542786
4,0.03,400,1.0,1.2539443911330754,0.2768045174419768
4,0.03,400,5.0,1.268884595578535,0.2711512751041331
6,0.05,800,5.0,1.5789797295327528,0.4032931125260825
6,0.05,800,1.0,1.6232969132715618,0.4168714571272885
6,0.05,400,5.0,1.6255035504719526,0.3977249805570111
6,0.03,800,5.0,1.6280865638943802,0.4084947071594566
6,0.1,800,5.0,1.6377118321432462,0.44332839025925136
6,0.03,800,1.0,1.6500021350069107,0.41320886674032303
6,0.1,400,5.0,1.6569674609373812,0.44173308701114183
6,0.05,400,1.0,1.6628767264321689,0.409994922237099
6,0.1,800,1.0,1.7036767579287253,0.41986318198272016
6,0.03,400,5.0,1.7125652924833876,0.39698349405854855
6,0.03,400,1.0,1.7219848298451566,0.3997863244036706
6,0.1,400,1.0,1.7247143611847975,0.4170728240073722
8,0.05,800,5.0,2.159162857276029,0.47371840331787085
8,0.05,800,1.0,2.1802571194251836,0.4703924094121412
8,0.05,400,5.0,2.1810611085675515,0.4688843062555026
8,0.05,400,1.0,2.1950536575042086,0.4686135773976972
8,0.1,800,5.0,2.1995059011932634,0.4770887691768684
8,0.1,400,5.0,2.206430850193835,0.4765180464433147
8,0.03,800,5.0,2.220698011209162,0.4648729476383453
8,0.03,800,1.0,2.2544537099447632,0.4471019749376874
8,0.03,400,5.0,2.2716274605499347,0.45694033537005196
8,0.1,800,1.0,2.287989210603345,0.48625001061941586
8,0.1,400,1.0,2.2936981656899254,0.48515280727329413
8,0.03,400,1.0,2.2952465428257876,0.43995910370813673
