max_depth,learning_rate,n_estimators,reg_lambda,cv_rmse_m,cv_rmse_sd
4,0.1,800,1.0,17.12942015740243,5.048727744406068
4,0.05,800,5.0,17.21130579160054,4.724325461240384
4,0.1,400,1.0,17.217512010121904,4.897033597853788
4,0.03,800,5.0,17.43226385869831,4.690095375827474
4,0.05,400,5.0,17.451320696975323,4.311877860269434
4,0.05,800,1.0,17.557745908941666,5.063169340329599
4,0.03,800,1.0,17.564049352126965,4.77013097252657
4,0.1,800,5.0,17.63627725156885,5.096372574274134
4,0.1,400,5.0,17.709481194729847,4.895503601468985
4,0.05,400,1.0,17.76587461706987,4.69061526604467
6,0.1,400,1.0,17.834065179263593,4.719626651655813
4,0.03,400,5.0,17.8341650622521,4.432528842285981
6,0.1,800,1.0,17.861731703934563,4.836038284064709
6,0.03,800,1.0,17.868681366933252,5.013404951697504
6,0.03,400,1.0,17.881582170770862,4.849620355290473
4,0.03,400,1.0,17.90388139955626,4.448703093053386
6,0.1,800,5.0,17.926990419074134,4.81939649677385
6,0.03,400,5.0,17.98938164920067,4.688947304065292
6,0.03,800,5.0,17.995236894095278,4.83975078241288
6,0.1,400,5.0,18.05289411845785,4.863738581012644
8,0.1,400,1.0,18.139280182127827,4.821562138193221
8,0.1,800,1.0,18.151441798385182,4.831211778551057
6,0.05,800,1.0,18.208654901731116,4.877658977062107
6,0.05,400,1.0,18.264097622931985,4.807589843375438
8,0.03,800,1.0,18.279898016994725,5.017198754882499
6,0.05,800,5.0,18.2807109373582,4.980403615975076
6,0.05,400,5.0,18.29064297148465,4.837364085341095
8,0.03,400,1.0,18.291964862906212,4.958870254073549
8,0.03,400,5.0,18.40144127085507,4.760470928745143
8,0.03,800,5.0,18.41243413968559,4.840852093423869
8,0.1,400,5.0,18.431096658553606,4.683146873208113
8,0.05,800,1.0,18.43362769120744,4.821282762394801
8,0.1,800,5.0,18.43743665582553,4.70657903014781
8,0.05,400,1.0,18.44939040645273,4.831888860996356
8,0.05,800,5.0,18.63866510636814,4.942918742424305
8,0.05,400,5.0,18.658396863435925,4.903602149115646
