max_depth,learning_rate,n_estimators,reg_lambda,cv_rmse_m,cv_rmse_sd
6,0.1,400,5.0,17.16002034122888,4.500420910815807
4,0.05,800,5.0,17.276202944298994,5.0626930686094065
6,0.1,800,5.0,17.28209123683303,4.5935413237228016
4,0.05,800,1.0,17.408301736087417,4.785012515480577
4,0.03,800,5.0,17.4553389254368,4.5872051705394306
4,0.05,400,5.0,17.505551739863233,4.661238285310801
4,0.1,400,5.0,17.548365352883888,4.941656311898443
8,0.1,800,5.0,17.554607220397852,4.186000453026483
4,0.03,800,1.0,17.58070063091086,4.618941889051484
8,0.1,400,5.0,17.582256200541728,4.198017590619668
4,0.05,400,1.0,17.60645923471632,4.417948572467512
6,0.05,400,5.0,17.615956362619052,4.524376164354643
6,0.05,800,5.0,17.64763865618217,4.618260720678466
4,0.1,800,5.0,17.682922882178975,5.239010733678075
4,0.1,400,1.0,17.686695729031147,4.936396702897374
4,0.1,800,1.0,17.742739459211236,5.17791220373138
6,0.03,800,1.0,17.787308049830564,4.7184057571442
6,0.1,400,1.0,17.790796956708057,4.491714380170923
6,0.1,800,1.0,17.807895569330263,4.39509344689058
6,0.03,400,1.0,17.82532575045152,4.589035439235123
8,0.05,400,1.0,17.860311622124925,4.553833673628475
4,0.03,400,5.0,17.871017781901678,4.4576411051380855
8,0.05,800,1.0,17.877640173649468,4.594298723542183
6,0.05,400,1.0,17.903890630191746,4.6248297364899855
4,0.03,400,1.0,17.979175958739056,4.42807109503933
8,0.05,800,5.0,18.019413528996292,4.577207948858493
6,0.05,800,1.0,18.02242258063181,4.7632219399818245
8,0.05,400,5.0,18.02945723727787,4.570350080582063
6,0.03,800,5.0,18.041295458775956,4.923099171958036
8,0.03,800,5.0,18.050451521673768,4.698664587952263
8,0.03,400,5.0,18.059637298259425,4.6413304844272405
8,0.03,400,1.0,18.060163343926128,4.70787254920006
6,0.03,400,5.0,18.064830080422855,4.744700544641541
8,0.03,800,1.0,18.08489597936405,4.767049175552185
8,0.1,800,1.0,18.248624174308027,4.492659024663773
8,0.1,400,1.0,18.25751112651579,4.515416239062751
