sigma,dep_cap_MJ,har_cap_MJ,partition,n,dangerous_rate,conservative_rate
1.0,3.8389737107084687,8.412533686238644,overall,65240,0.12414163090128755,0.003801348865726548
1.0,3.8389737107084687,8.412533686238644,in-grid,12906,0.0014721834805516813,0.01092515109251511
1.0,3.8389737107084687,8.412533686238644,sub-grid,52334,0.15439293766958384,0.002044559941911568
1.5,3.758460566062703,8.368800529357966,overall,65240,0.11854690374003679,0.005656039239730227
1.5,3.758460566062703,8.368800529357966,in-grid,12906,0.0013172167983883465,0.014024484735781807
1.5,3.758460566062703,8.368800529357966,sub-grid,52334,0.14745672029655674,0.003592310925975465
2.0,3.677947421416937,8.325067372477287,overall,65240,0.11356529736358062,0.008736971183323115
2.0,3.677947421416937,8.325067372477287,in-grid,12906,0.0010072834340616767,0.017666201766620176
2.0,3.677947421416937,8.325067372477287,sub-grid,52334,0.14132304047082203,0.0065349485993809
2.5,3.597434276771171,8.28133421559661,overall,65240,0.10559472716125076,0.012614960147148989
2.5,3.597434276771171,8.28133421559661,in-grid,12906,0.0006198667286533395,0.021307918797458546
2.5,3.597434276771171,8.28133421559661,sub-grid,52334,0.13148240149807008,0.010471204188481676
