soc_start,n,dangerous_rate,frac_lap_instances_ever_subgrid,mean_frac_sectors_subgrid,median_first_cross_sector,dangerous_count
0.1,6524,0.02467811158798283,0.9357755977927652,0.4345839212601588,1.0,161
0.2,6524,0.02467811158798283,0.8804414469650521,0.415932072902561,1.0,161
0.3,6524,0.03234212139791539,0.8511649294911098,0.3865523915703604,2.0,211
0.4,6524,0.04460453709380748,0.814990803188228,0.36140513937636687,3.0,291
0.5,6524,0.059779276517473945,0.8013488657265482,0.33812651515376435,3.0,390
0.6,6524,0.08292458614347026,0.7952176578786021,0.3036793098482801,4.0,541
0.7,6524,0.13902513795217658,0.7755977927651747,0.27291644721021346,5.0,907
0.8,6524,0.22930717351318208,0.7515328019619865,0.24884102974218678,6.0,1496
0.9,6524,0.34625996321275293,0.7225628448804414,0.2250076584591512,6.0,2259
1.0,6524,0.44466584917228696,0.6931330472103004,0.19884998799375792,7.0,2901
