rmse,mae,r2,n,nrmse,circuit,target,model
35231.77233990772,13435.957107788437,0.6929850990423645,36742,0.10066220668545063,Abu Dhabi Grand Prix,P_deploy_mean_optimal,twostage_gate
17118.047855228382,9002.680673838424,0.9181979452202454,26039,0.048908708157795376,Australian Grand Prix,P_deploy_mean_optimal,twostage_gate
24183.47303953324,11900.66650097749,0.6885318599324504,25190,0.06909563725580926,Austrian Grand Prix,P_deploy_mean_optimal,twostage_gate
15289.706119365597,7531.331398532456,0.7792089066522144,39435,0.04368487462675885,Azerbaijan Grand Prix,P_deploy_mean_optimal,twostage_gate
25620.355952396898,12349.07560445204,0.6942188538110069,26795,0.07320101700684828,Bahrain Grand Prix,P_deploy_mean_optimal,twostage_gate
27785.63419528432,16836.553841722412,0.8277206654034416,41005,0.07938752627224092,Belgian Grand Prix,P_deploy_mean_optimal,twostage_gate
36004.662032845205,17237.921245183967,0.6500572651591459,35518,0.1028704629509863,British Grand Prix,P_deploy_mean_optimal,twostage_gate
17410.22105385816,8169.8491843516595,0.9078771557132748,19579,0.04974348872530903,Canadian Grand Prix,P_deploy_mean_optimal,twostage_gate
23377.14843912402,13073.126839017932,0.7914601269592284,31689,0.06679185268321149,Chinese Grand Prix,P_deploy_mean_optimal,twostage_gate
31101.55027973726,14222.046376885182,0.4615383619970276,31916,0.08886157222782075,Dutch Grand Prix,P_deploy_mean_optimal,twostage_gate
19104.949262796512,10401.520147674619,0.8834014969508084,35690,0.05458556932227575,Emilia Romagna Grand Prix,P_deploy_mean_optimal,twostage_gate
25568.914496177393,10171.367500296481,0.47990596936008423,36675,0.07305404141764969,Hungarian Grand Prix,P_deploy_mean_optimal,twostage_gate
20266.990497685652,11067.768112661846,0.9074451672666984,19565,0.05790568713624472,Italian Grand Prix,P_deploy_mean_optimal,twostage_gate
52037.25215173196,26961.509640836022,0.5183949971930838,43518,0.14867786329066274,Japanese Grand Prix,P_deploy_mean_optimal,twostage_gate
27478.818802992057,13965.74028648025,0.854947892482118,28700,0.07851091086569159,Las Vegas Grand Prix,P_deploy_mean_optimal,twostage_gate
9054.092508843136,6090.505285027381,0.928736468281319,21049,0.025868835739551815,Mexico City Grand Prix,P_deploy_mean_optimal,twostage_gate
31403.459477057957,16292.445497954726,0.7688557984038417,35413,0.0897241699344513,Miami Grand Prix,P_deploy_mean_optimal,twostage_gate
23055.143401715573,10581.472809514002,0.7483544885850928,33284,0.06587183829061592,Monaco Grand Prix,P_deploy_mean_optimal,twostage_gate
21583.05428134377,9944.729456374107,0.4087210468866278,41988,0.06166586937526792,Qatar Grand Prix,P_deploy_mean_optimal,twostage_gate
34307.60161122544,18533.271556966483,0.6178803263962962,52913,0.09802171888921553,Saudi Arabian Grand Prix,P_deploy_mean_optimal,twostage_gate
30392.828506155176,13291.595892071166,0.5037461707095714,37308,0.08683665287472908,Singapore Grand Prix,P_deploy_mean_optimal,twostage_gate
9103.55411827831,5400.866129990273,0.9169207173394528,28840,0.026010154623652318,Spanish Grand Prix,P_deploy_mean_optimal,twostage_gate
12890.596420811315,6679.816744732097,0.8879525122931056,24973,0.036830275488032325,São Paulo Grand Prix,P_deploy_mean_optimal,twostage_gate
31242.79311989653,13447.508949646071,0.6182538277399069,46039,0.08926512319970438,United States Grand Prix,P_deploy_mean_optimal,twostage_gate
